SKU,Product Name,Category,Dosage Form,Strength,Package Size,Batch Number,Manufacturing Date,Expiration Date,Unit Cost,Selling Price,Stock In,Stock Out,Stock Balance,Distributor ID,Distributor Name,Country,Distributor Type,Order Date,Quantity Ordered,Total Order Cost,Order Status,Payment Status,Shipping Date,Delivery Date,Transaction Date,Season,Holiday,Promotion,Lag_1,Lag_2,Lag_3,Moving Average,Demand Forecast
SKU_16,Medicine_SKU_16,Antifungal,Syrup,262mg,179ml,BN4052,2022-07-07,2024-04-18,13.96,23.67,195,65,130,DIST_20,Distributor_DIST_20,Germany,Retail,2023-01-13,51,1207.17,Pending,Unpaid,2023-01-15,2023-01-17,2023-01-31,Winter,0,1,65,65,65,65.0,195
SKU_17,Medicine_SKU_17,Antibiotic,Syrup,75mg,305ml,BN5761,2022-04-19,2024-10-19,5.58,7.96,24,8,16,DIST_31,Distributor_DIST_31,UK,Pharmacy,2023-01-30,183,1456.68,Delivered,Unpaid,2023-02-02,2023-02-06,2023-01-31,Winter,0,0,8,8,8,8.0,24
SKU_18,Medicine_SKU_18,Antibiotic,Syrup,76mg,348ml,BN5014,2021-10-20,2024-05-08,18.06,24.15,120,40,80,DIST_22,Distributor_DIST_22,UK,Hospital,2023-01-17,61,1473.1499999999999,Shipped,Partially Paid,2023-01-20,2023-01-25,2023-01-31,Winter,0,0,40,40,40,40.0,120
SKU_19,Medicine_SKU_19,Antibiotic,Capsule,452mg,290ml,BN7134,2022-01-10,2024-10-24,28.32,53.55,21,7,14,DIST_43,Distributor_DIST_43,UK,Hospital,2023-01-27,179,9585.449999999999,Pending,Paid,2023-02-01,2023-02-11,2023-01-31,Winter,0,1,7,7,7,7.0,21
SKU_20,Medicine_SKU_20,Antiviral,Tablet,371mg,217ml,BN4977,2021-12-19,2023-12-17,47.27,78.52,285,95,190,DIST_20,Distributor_DIST_20,USA,Wholesale,2023-01-18,72,5653.44,Canceled,Paid,2023-01-22,2023-01-28,2023-01-31,Winter,0,1,95,95,95,95.0,285
SKU_21,Medicine_SKU_21,Antibiotic,Injection,133mg,194ml,BN2357,2021-12-20,2023-07-13,28.08,37.8,108,36,72,DIST_17,Distributor_DIST_17,USA,Retail,2023-01-13,140,5292.0,Canceled,Unpaid,2023-01-18,2023-01-22,2023-01-31,Winter,0,1,36,36,36,36.0,108
SKU_22,Medicine_SKU_22,Painkiller,Injection,63mg,216ml,BN8880,2022-04-08,2024-11-07,17.98,21.73,180,60,120,DIST_4,Distributor_DIST_4,Japan,Wholesale,2023-01-13,89,1933.97,Shipped,Unpaid,2023-01-17,2023-01-25,2023-01-31,Winter,0,0,60,60,60,60.0,180
SKU_23,Medicine_SKU_23,Antibiotic,Injection,369mg,328ml,BN8992,2021-12-31,2024-05-18,14.48,20.05,69,23,46,DIST_10,Distributor_DIST_10,UK,Hospital,2023-01-23,187,3749.35,Pending,Partially Paid,2023-01-24,2023-01-26,2023-01-31,Winter,0,0,23,23,23,23.0,69
SKU_24,Medicine_SKU_24,Painkiller,Injection,271mg,423ml,BN4908,2022-01-24,2023-12-08,24.46,39.9,189,63,126,DIST_15,Distributor_DIST_15,USA,Hospital,2023-01-30,16,638.4,Pending,Partially Paid,2023-02-02,2023-02-04,2023-01-31,Winter,0,0,63,63,63,63.0,189
SKU_25,Medicine_SKU_25,Antibiotic,Capsule,222mg,472ml,BN7373,2022-06-19,2023-11-05,18.36,25.84,33,11,22,DIST_37,Distributor_DIST_37,Japan,Wholesale,2023-01-15,63,1627.92,Delivered,Unpaid,2023-01-18,2023-01-26,2023-01-31,Winter,0,0,11,11,11,11.0,33
SKU_26,Medicine_SKU_26,Painkiller,Capsule,280mg,238ml,BN7040,2022-01-24,2024-07-08,15.05,18.21,231,77,154,DIST_24,Distributor_DIST_24,France,Wholesale,2023-01-13,107,1948.47,Pending,Unpaid,2023-01-14,2023-01-23,2023-01-31,Winter,0,0,77,77,77,77.0,231
SKU_27,Medicine_SKU_27,Antiviral,Tablet,133mg,155ml,BN5544,2022-07-05,2024-12-17,28.67,36.33,219,73,146,DIST_37,Distributor_DIST_37,France,Pharmacy,2023-01-25,199,7229.67,Shipped,Paid,2023-01-27,2023-02-04,2023-01-31,Winter,0,0,73,73,73,73.0,219
SKU_28,Medicine_SKU_28,Antibiotic,Syrup,62mg,373ml,BN9958,2021-09-18,2022-09-25,43.62,80.46,108,36,72,DIST_21,Distributor_DIST_21,India,Hospital,2023-01-23,83,6678.179999999999,Canceled,Unpaid,2023-01-25,2023-02-01,2023-01-31,Winter,0,0,36,36,36,36.0,108
SKU_29,Medicine_SKU_29,Antifungal,Tablet,255mg,434ml,BN7691,2021-11-08,2023-05-03,38.36,55.57,225,75,150,DIST_23,Distributor_DIST_23,India,Hospital,2023-01-20,118,6557.26,Delivered,Paid,2023-01-21,2023-01-23,2023-01-31,Winter,0,0,75,75,75,75.0,225
SKU_30,Medicine_SKU_30,Antifungal,Capsule,422mg,393ml,BN8749,2022-01-20,2024-12-31,5.33,6.62,225,75,150,DIST_19,Distributor_DIST_19,India,Hospital,2023-01-26,122,807.64,Pending,Partially Paid,2023-01-28,2023-01-31,2023-01-31,Winter,0,1,75,75,75,75.0,225
SKU_31,Medicine_SKU_31,Painkiller,Injection,387mg,235ml,BN3619,2021-12-13,2023-01-06,29.25,53.08,102,34,68,DIST_3,Distributor_DIST_3,India,Hospital,2023-01-14,190,10085.199999999999,Shipped,Unpaid,2023-01-15,2023-01-25,2023-01-31,Winter,0,0,34,34,34,34.0,102
SKU_32,Medicine_SKU_32,Painkiller,Injection,85mg,251ml,BN9588,2021-12-14,2023-01-04,18.05,27.62,78,26,52,DIST_36,Distributor_DIST_36,Japan,Retail,2023-01-28,64,1767.68,Pending,Unpaid,2023-01-29,2023-02-06,2023-01-31,Winter,0,0,26,26,26,26.0,78
SKU_33,Medicine_SKU_33,Antiviral,Syrup,318mg,456ml,BN4373,2022-03-11,2024-12-07,48.29,65.92,177,59,118,DIST_24,Distributor_DIST_24,Japan,Hospital,2023-01-20,147,9690.24,Canceled,Unpaid,2023-01-25,2023-01-29,2023-01-31,Winter,0,0,59,59,59,59.0,177
SKU_34,Medicine_SKU_34,Painkiller,Injection,336mg,256ml,BN1114,2021-12-18,2023-06-26,10.34,12.89,204,68,136,DIST_18,Distributor_DIST_18,UK,Pharmacy,2023-01-26,12,154.68,Shipped,Paid,2023-01-28,2023-01-30,2023-01-31,Winter,0,0,68,68,68,68.0,204
SKU_35,Medicine_SKU_35,Antiviral,Injection,252mg,275ml,BN6922,2021-09-22,2024-04-04,29.27,37.21,150,50,100,DIST_10,Distributor_DIST_10,Japan,Wholesale,2023-01-25,117,4353.57,Pending,Paid,2023-01-30,2023-02-04,2023-01-31,Winter,0,0,50,50,50,50.0,150
SKU_36,Medicine_SKU_36,Antibiotic,Injection,59mg,154ml,BN7578,2021-09-18,2023-02-09,13.94,19.78,45,15,30,DIST_4,Distributor_DIST_4,India,Hospital,2023-01-21,37,731.86,Delivered,Paid,2023-01-25,2023-02-03,2023-01-31,Winter,0,0,15,15,15,15.0,45
SKU_37,Medicine_SKU_37,Painkiller,Tablet,241mg,225ml,BN3120,2021-11-15,2023-11-01,30.74,53.13,144,48,96,DIST_50,Distributor_DIST_50,India,Pharmacy,2023-01-28,23,1221.99,Canceled,Partially Paid,2023-02-02,2023-02-08,2023-01-31,Winter,0,0,48,48,48,48.0,144
SKU_38,Medicine_SKU_38,Antiviral,Injection,343mg,447ml,BN8863,2021-10-05,2024-07-23,31.06,49.83,150,50,100,DIST_11,Distributor_DIST_11,Germany,Retail,2023-01-21,72,3587.7599999999998,Canceled,Paid,2023-01-24,2023-01-31,2023-01-31,Winter,0,1,50,50,50,50.0,150
SKU_39,Medicine_SKU_39,Antiviral,Injection,498mg,326ml,BN7687,2022-06-08,2024-12-17,45.89,60.22,228,76,152,DIST_4,Distributor_DIST_4,India,Retail,2023-01-12,62,3733.64,Shipped,Paid,2023-01-14,2023-01-18,2023-01-31,Winter,0,0,76,76,76,76.0,228
SKU_40,Medicine_SKU_40,Antibiotic,Injection,382mg,445ml,BN7483,2021-12-27,2023-09-13,23.3,39.97,150,50,100,DIST_2,Distributor_DIST_2,UK,Retail,2023-01-20,24,959.28,Pending,Partially Paid,2023-01-22,2023-01-25,2023-01-31,Winter,0,0,50,50,50,50.0,150
SKU_41,Medicine_SKU_41,Painkiller,Injection,64mg,185ml,BN1374,2022-03-04,2023-03-27,43.85,77.19,195,65,130,DIST_18,Distributor_DIST_18,India,Wholesale,2023-01-14,190,14666.1,Delivered,Unpaid,2023-01-18,2023-01-21,2023-01-31,Winter,0,0,65,65,65,65.0,195
SKU_42,Medicine_SKU_42,Antibiotic,Injection,421mg,331ml,BN4449,2021-11-17,2023-01-19,19.29,34.14,174,58,116,DIST_18,Distributor_DIST_18,UK,Retail,2023-01-23,46,1570.44,Pending,Partially Paid,2023-01-27,2023-02-03,2023-01-31,Winter,0,1,58,58,58,58.0,174
SKU_43,Medicine_SKU_43,Antibiotic,Capsule,318mg,462ml,BN1581,2021-11-18,2024-09-30,25.86,39.73,204,68,136,DIST_7,Distributor_DIST_7,USA,Wholesale,2023-01-24,17,675.41,Delivered,Unpaid,2023-01-28,2023-02-07,2023-01-31,Winter,0,1,68,68,68,68.0,204
SKU_44,Medicine_SKU_44,Antifungal,Tablet,90mg,295ml,BN3137,2022-07-13,2025-05-15,19.34,35.19,201,67,134,DIST_44,Distributor_DIST_44,France,Wholesale,2023-01-26,13,457.46999999999997,Delivered,Partially Paid,2023-01-29,2023-02-08,2023-01-31,Winter,0,0,67,67,67,67.0,201
SKU_45,Medicine_SKU_45,Antiviral,Tablet,298mg,494ml,BN2806,2022-05-31,2024-08-19,25.37,49.21,192,64,128,DIST_7,Distributor_DIST_7,France,Retail,2023-01-27,91,4478.11,Delivered,Partially Paid,2023-01-29,2023-02-01,2023-01-31,Winter,0,0,64,64,64,64.0,192
SKU_46,Medicine_SKU_46,Antifungal,Syrup,479mg,394ml,BN9715,2022-01-31,2023-10-18,13.1,24.55,261,87,174,DIST_13,Distributor_DIST_13,France,Retail,2023-01-14,95,2332.25,Pending,Unpaid,2023-01-16,2023-01-25,2023-01-31,Winter,0,0,87,87,87,87.0,261
SKU_47,Medicine_SKU_47,Antifungal,Capsule,238mg,160ml,BN9154,2021-12-13,2024-12-05,9.99,12.57,261,87,174,DIST_12,Distributor_DIST_12,UK,Retail,2023-01-17,27,339.39,Pending,Partially Paid,2023-01-19,2023-01-28,2023-01-31,Winter,0,1,87,87,87,87.0,261
SKU_48,Medicine_SKU_48,Painkiller,Tablet,306mg,439ml,BN5193,2022-03-11,2023-04-13,22.2,40.01,198,66,132,DIST_16,Distributor_DIST_16,India,Pharmacy,2023-01-29,127,5081.2699999999995,Shipped,Unpaid,2023-02-01,2023-02-07,2023-01-31,Winter,1,0,66,66,66,66.0,198
SKU_49,Medicine_SKU_49,Antibiotic,Capsule,212mg,334ml,BN7720,2022-02-09,2023-06-21,28.3,38.85,171,57,114,DIST_27,Distributor_DIST_27,USA,Retail,2023-01-27,196,7614.6,Shipped,Partially Paid,2023-01-31,2023-02-09,2023-01-31,Winter,0,0,57,57,57,57.0,171
SKU_50,Medicine_SKU_50,Antibiotic,Tablet,63mg,211ml,BN2617,2022-04-05,2023-11-08,24.55,45.74,45,15,30,DIST_6,Distributor_DIST_6,India,Wholesale,2023-01-15,37,1692.38,Pending,Partially Paid,2023-01-19,2023-01-25,2023-01-31,Winter,0,0,15,15,15,15.0,45
SKU_51,Medicine_SKU_51,Antifungal,Capsule,252mg,122ml,BN9474,2021-11-21,2023-10-31,41.03,52.21,54,18,36,DIST_40,Distributor_DIST_40,Germany,Wholesale,2023-01-29,26,1357.46,Delivered,Partially Paid,2023-02-03,2023-02-09,2023-01-31,Winter,0,0,18,18,18,18.0,54
SKU_52,Medicine_SKU_52,Painkiller,Tablet,136mg,158ml,BN5540,2022-02-20,2024-08-09,40.43,78.84,159,53,106,DIST_3,Distributor_DIST_3,France,Pharmacy,2023-01-30,28,2207.52,Pending,Paid,2023-02-03,2023-02-13,2023-01-31,Winter,1,1,53,53,53,53.0,159
SKU_53,Medicine_SKU_53,Antibiotic,Capsule,128mg,114ml,BN1020,2022-03-01,2023-04-20,8.98,12.4,297,99,198,DIST_27,Distributor_DIST_27,UK,Retail,2023-01-13,75,930.0,Pending,Partially Paid,2023-01-14,2023-01-19,2023-01-31,Winter,0,1,99,99,99,99.0,297
SKU_54,Medicine_SKU_54,Antifungal,Tablet,68mg,416ml,BN9421,2021-12-09,2023-04-26,42.25,62.78,27,9,18,DIST_50,Distributor_DIST_50,India,Wholesale,2023-01-25,192,12053.76,Pending,Partially Paid,2023-01-26,2023-02-02,2023-01-31,Winter,0,0,9,9,9,9.0,27
SKU_55,Medicine_SKU_55,Antibiotic,Injection,233mg,426ml,BN7294,2022-06-24,2023-09-29,7.34,10.92,39,13,26,DIST_33,Distributor_DIST_33,Germany,Retail,2023-01-13,19,207.48,Delivered,Partially Paid,2023-01-16,2023-01-21,2023-01-31,Winter,0,1,13,13,13,13.0,39
SKU_56,Medicine_SKU_56,Antibiotic,Capsule,240mg,493ml,BN3952,2021-10-21,2023-07-02,34.31,64.95,288,96,192,DIST_39,Distributor_DIST_39,Japan,Wholesale,2023-01-11,19,1234.05,Pending,Unpaid,2023-01-16,2023-01-18,2023-01-31,Winter,0,0,96,96,96,96.0,288
SKU_57,Medicine_SKU_57,Painkiller,Tablet,217mg,345ml,BN2079,2022-05-02,2023-07-11,49.17,81.44,225,75,150,DIST_50,Distributor_DIST_50,Japan,Pharmacy,2023-01-12,141,11483.039999999999,Shipped,Unpaid,2023-01-17,2023-01-19,2023-01-31,Winter,0,0,75,75,75,75.0,225
SKU_58,Medicine_SKU_58,Antifungal,Tablet,382mg,113ml,BN7513,2022-06-07,2023-11-18,40.68,72.17,288,96,192,DIST_25,Distributor_DIST_25,UK,Hospital,2023-01-30,134,9670.78,Pending,Partially Paid,2023-01-31,2023-02-08,2023-01-31,Winter,0,0,96,96,96,96.0,288
SKU_59,Medicine_SKU_59,Antifungal,Capsule,420mg,428ml,BN5287,2022-05-07,2024-03-12,40.38,61.76,186,62,124,DIST_16,Distributor_DIST_16,France,Pharmacy,2023-01-14,145,8955.199999999999,Pending,Unpaid,2023-01-17,2023-01-25,2023-01-31,Winter,0,0,62,62,62,62.0,186
SKU_60,Medicine_SKU_60,Antiviral,Syrup,348mg,466ml,BN5095,2022-06-17,2024-01-07,33.98,55.99,198,66,132,DIST_10,Distributor_DIST_10,UK,Hospital,2023-01-27,185,10358.15,Pending,Unpaid,2023-02-01,2023-02-06,2023-01-31,Winter,0,0,66,66,66,66.0,198
SKU_61,Medicine_SKU_61,Antibiotic,Tablet,304mg,204ml,BN2938,2021-12-14,2024-03-20,19.01,34.66,231,77,154,DIST_30,Distributor_DIST_30,USA,Wholesale,2023-01-16,193,6689.379999999999,Canceled,Partially Paid,2023-01-20,2023-01-27,2023-01-31,Winter,0,1,77,77,77,77.0,231
SKU_62,Medicine_SKU_62,Antifungal,Injection,156mg,143ml,BN3244,2022-06-09,2024-09-25,41.07,65.18,120,40,80,DIST_6,Distributor_DIST_6,India,Hospital,2023-01-24,87,5670.660000000001,Canceled,Partially Paid,2023-01-26,2023-02-02,2023-01-31,Winter,0,0,40,40,40,40.0,120
SKU_63,Medicine_SKU_63,Antibiotic,Injection,252mg,473ml,BN2186,2021-10-07,2024-09-21,23.23,38.24,228,76,152,DIST_17,Distributor_DIST_17,UK,Wholesale,2023-01-21,151,5774.240000000001,Canceled,Paid,2023-01-24,2023-01-30,2023-01-31,Winter,0,1,76,76,76,76.0,228
SKU_64,Medicine_SKU_64,Antibiotic,Injection,420mg,171ml,BN5660,2022-01-09,2023-04-29,9.79,15.9,81,27,54,DIST_49,Distributor_DIST_49,France,Retail,2023-01-25,163,2591.7000000000003,Delivered,Paid,2023-01-27,2023-02-04,2023-01-31,Winter,0,0,27,27,27,27.0,81
SKU_65,Medicine_SKU_65,Antibiotic,Capsule,115mg,455ml,BN6467,2022-02-14,2023-07-09,22.49,42.94,108,36,72,DIST_18,Distributor_DIST_18,UK,Retail,2023-01-29,152,6526.879999999999,Shipped,Paid,2023-02-01,2023-02-08,2023-01-31,Winter,0,0,36,36,36,36.0,108
SKU_66,Medicine_SKU_66,Painkiller,Capsule,211mg,491ml,BN1947,2022-03-01,2023-08-31,13.78,20.11,39,13,26,DIST_46,Distributor_DIST_46,USA,Pharmacy,2023-01-11,160,3217.6,Pending,Partially Paid,2023-01-14,2023-01-23,2023-01-31,Winter,0,1,13,13,13,13.0,39
SKU_67,Medicine_SKU_67,Painkiller,Tablet,275mg,124ml,BN1454,2022-01-28,2024-04-07,44.14,84.18,231,77,154,DIST_40,Distributor_DIST_40,Japan,Pharmacy,2023-01-30,59,4966.620000000001,Pending,Paid,2023-02-01,2023-02-10,2023-01-31,Winter,0,1,77,77,77,77.0,231
SKU_68,Medicine_SKU_68,Antibiotic,Injection,274mg,125ml,BN1985,2021-11-05,2024-07-03,37.69,59.69,48,16,32,DIST_2,Distributor_DIST_2,Germany,Wholesale,2023-01-12,91,5431.79,Shipped,Unpaid,2023-01-15,2023-01-23,2023-01-31,Winter,0,0,16,16,16,16.0,48
SKU_69,Medicine_SKU_69,Antifungal,Tablet,183mg,487ml,BN9555,2022-04-09,2024-08-27,30.79,45.49,33,11,22,DIST_39,Distributor_DIST_39,India,Wholesale,2023-01-14,33,1501.17,Shipped,Partially Paid,2023-01-15,2023-01-21,2023-01-31,Winter,0,0,11,11,11,11.0,33
SKU_70,Medicine_SKU_70,Antibiotic,Capsule,187mg,221ml,BN3778,2022-01-26,2023-03-18,39.05,72.37,222,74,148,DIST_30,Distributor_DIST_30,USA,Hospital,2023-01-27,10,723.7,Canceled,Unpaid,2023-01-31,2023-02-08,2023-01-31,Winter,0,1,74,74,74,74.0,222
SKU_71,Medicine_SKU_71,Antibiotic,Injection,182mg,348ml,BN1730,2022-03-16,2024-09-10,11.72,21.91,60,20,40,DIST_13,Distributor_DIST_13,Japan,Pharmacy,2023-01-21,77,1687.07,Canceled,Partially Paid,2023-01-26,2023-02-02,2023-01-31,Winter,0,0,20,20,20,20.0,60
SKU_72,Medicine_SKU_72,Antifungal,Syrup,192mg,344ml,BN4119,2021-12-24,2023-07-21,48.1,87.77,291,97,194,DIST_23,Distributor_DIST_23,Germany,Wholesale,2023-01-29,181,15886.369999999999,Shipped,Paid,2023-01-31,2023-02-03,2023-01-31,Winter,0,1,97,97,97,97.0,291
SKU_73,Medicine_SKU_73,Antifungal,Injection,310mg,355ml,BN4320,2022-05-28,2024-08-03,30.62,46.7,132,44,88,DIST_9,Distributor_DIST_9,Germany,Wholesale,2023-01-22,14,653.8000000000001,Canceled,Partially Paid,2023-01-27,2023-01-29,2023-01-31,Winter,0,0,44,44,44,44.0,132
SKU_74,Medicine_SKU_74,Antifungal,Tablet,341mg,307ml,BN6165,2021-10-15,2024-10-09,6.75,8.82,210,70,140,DIST_3,Distributor_DIST_3,France,Hospital,2023-01-14,54,476.28000000000003,Pending,Paid,2023-01-19,2023-01-29,2023-01-31,Winter,0,0,70,70,70,70.0,210
SKU_75,Medicine_SKU_75,Antibiotic,Tablet,313mg,264ml,BN7540,2022-04-22,2024-08-19,18.12,25.57,48,16,32,DIST_6,Distributor_DIST_6,Germany,Wholesale,2023-01-25,143,3656.51,Pending,Paid,2023-01-27,2023-02-01,2023-01-31,Winter,0,1,16,16,16,16.0,48
SKU_76,Medicine_SKU_76,Antiviral,Injection,116mg,347ml,BN5769,2021-12-29,2024-06-01,47.89,84.64,141,47,94,DIST_7,Distributor_DIST_7,Japan,Wholesale,2023-01-30,157,13288.48,Pending,Paid,2023-01-31,2023-02-06,2023-01-31,Winter,0,1,47,47,47,47.0,141
SKU_77,Medicine_SKU_77,Antifungal,Tablet,494mg,105ml,BN9037,2022-05-30,2025-01-25,37.35,63.14,285,95,190,DIST_6,Distributor_DIST_6,USA,Retail,2023-01-22,200,12628.0,Shipped,Paid,2023-01-26,2023-01-31,2023-01-31,Winter,0,0,95,95,95,95.0,285
SKU_78,Medicine_SKU_78,Antiviral,Tablet,100mg,321ml,BN5231,2021-10-07,2022-11-01,31.92,39.11,144,48,96,DIST_22,Distributor_DIST_22,USA,Pharmacy,2023-01-29,168,6570.48,Delivered,Partially Paid,2023-02-02,2023-02-11,2023-01-31,Winter,0,1,48,48,48,48.0,144
SKU_79,Medicine_SKU_79,Antibiotic,Syrup,447mg,133ml,BN6624,2021-10-11,2023-07-24,37.24,68.11,129,43,86,DIST_50,Distributor_DIST_50,Japan,Retail,2023-01-22,69,4699.59,Delivered,Unpaid,2023-01-26,2023-02-03,2023-01-31,Winter,0,0,43,43,43,43.0,129
SKU_80,Medicine_SKU_80,Painkiller,Injection,354mg,158ml,BN9121,2022-02-07,2024-10-18,15.39,28.11,135,45,90,DIST_38,Distributor_DIST_38,Japan,Retail,2023-01-29,142,3991.62,Pending,Paid,2023-01-30,2023-02-06,2023-01-31,Winter,0,0,45,45,45,45.0,135
SKU_81,Medicine_SKU_81,Antifungal,Syrup,91mg,438ml,BN7010,2022-06-15,2024-08-11,42.93,67.02,201,67,134,DIST_6,Distributor_DIST_6,UK,Pharmacy,2023-01-18,70,4691.4,Canceled,Unpaid,2023-01-20,2023-01-29,2023-01-31,Winter,0,0,67,67,67,67.0,201
SKU_82,Medicine_SKU_82,Antibiotic,Capsule,171mg,461ml,BN5806,2021-11-25,2023-07-25,9.43,18.55,51,17,34,DIST_23,Distributor_DIST_23,UK,Pharmacy,2023-01-25,113,2096.15,Canceled,Unpaid,2023-01-30,2023-02-09,2023-01-31,Winter,0,0,17,17,17,17.0,51
SKU_83,Medicine_SKU_83,Antifungal,Syrup,75mg,236ml,BN8415,2022-04-29,2025-02-06,17.81,30.83,189,63,126,DIST_43,Distributor_DIST_43,France,Pharmacy,2023-01-19,108,3329.64,Delivered,Paid,2023-01-20,2023-01-27,2023-01-31,Winter,0,0,63,63,63,63.0,189
SKU_84,Medicine_SKU_84,Antibiotic,Syrup,246mg,268ml,BN6950,2021-11-01,2023-03-27,48.71,67.5,39,13,26,DIST_50,Distributor_DIST_50,USA,Pharmacy,2023-01-29,69,4657.5,Canceled,Paid,2023-02-02,2023-02-10,2023-01-31,Winter,0,1,13,13,13,13.0,39
