SKU,Stock In,Stock Out,Stock Balance,Days_Until_Expiry,Lead_Time,Season,Holiday,Promotion,Lag_1,Lag_2,Lag_3,Moving Average,Demand Forecast,Order_Day,Order_Month,Order_Weekday,Days_Since_Last_Order
66,69,23,46,-312,3,3,0,0,23,23,23,23.0,69,23,1,0,10.0
67,189,63,126,-474,5,3,0,0,63,63,63,63.0,189,30,1,0,7.0
68,33,11,22,-507,11,3,0,0,11,11,11,11.0,33,15,1,6,-15.0
69,231,77,154,-261,10,3,0,0,77,77,77,77.0,231,13,1,4,-2.0
70,219,73,146,-99,10,3,0,0,73,73,73,73.0,219,25,1,2,12.0
71,108,36,72,-913,9,3,0,0,36,36,36,36.0,108,23,1,0,-2.0
72,225,75,150,-693,3,3,0,0,75,75,75,75.0,225,20,1,4,-3.0
74,225,75,150,-85,5,3,0,1,75,75,75,75.0,225,26,1,3,6.0
75,102,34,68,-810,11,3,0,0,34,34,34,34.0,102,14,1,5,-12.0
76,78,26,52,-812,9,3,0,0,26,26,26,26.0,78,28,1,5,14.0
77,177,59,118,-109,9,3,0,0,59,59,59,59.0,177,20,1,4,-8.0
78,204,68,136,-639,4,3,0,0,68,68,68,68.0,204,26,1,3,6.0
79,150,50,100,-356,10,3,0,0,50,50,50,50.0,150,25,1,2,-1.0
80,45,15,30,-776,13,3,0,0,15,15,15,15.0,45,21,1,5,-4.0
81,144,48,96,-511,11,3,0,0,48,48,48,48.0,144,28,1,5,7.0
82,150,50,100,-246,10,3,0,1,50,50,50,50.0,150,21,1,5,-7.0
83,228,76,152,-99,6,3,0,0,76,76,76,76.0,228,12,1,3,-9.0
85,150,50,100,-560,5,3,0,0,50,50,50,50.0,150,20,1,4,8.0
86,195,65,130,-730,7,3,0,0,65,65,65,65.0,195,14,1,5,-6.0
87,174,58,116,-797,11,3,0,1,58,58,58,58.0,174,23,1,0,9.0
88,204,68,136,-177,14,3,0,1,68,68,68,68.0,204,24,1,1,1.0
89,201,67,134,50,13,3,0,0,67,67,67,67.0,201,26,1,3,2.0
90,192,64,128,-219,5,3,0,0,64,64,64,64.0,192,27,1,4,1.0
91,261,87,174,-525,11,3,0,0,87,87,87,87.0,261,14,1,5,-13.0
92,261,87,174,-111,11,3,0,1,87,87,87,87.0,261,17,1,1,3.0
93,198,66,132,-713,9,3,1,0,66,66,66,66.0,198,29,1,6,12.0
94,171,57,114,-644,13,3,0,0,57,57,57,57.0,171,27,1,4,-2.0
96,45,15,30,-504,10,3,0,0,15,15,15,15.0,45,15,1,6,-12.0
97,54,18,36,-512,11,3,0,0,18,18,18,18.0,54,29,1,6,14.0
98,159,53,106,-229,14,3,1,1,53,53,53,53.0,159,30,1,0,1.0
99,297,99,198,-706,6,3,0,1,99,99,99,99.0,297,13,1,4,-17.0
100,27,9,18,-700,8,3,0,0,9,9,9,9.0,27,25,1,2,12.0
101,39,13,26,-544,8,3,0,1,13,13,13,13.0,39,13,1,4,-12.0
102,288,96,192,-633,7,3,0,0,96,96,96,96.0,288,11,1,2,-2.0
103,225,75,150,-624,7,3,0,0,75,75,75,75.0,225,12,1,3,1.0
104,288,96,192,-494,9,3,0,0,96,96,96,96.0,288,30,1,0,18.0
105,186,62,124,-379,11,3,0,0,62,62,62,62.0,186,14,1,5,-16.0
107,198,66,132,-444,10,3,0,0,66,66,66,66.0,198,27,1,4,13.0
108,231,77,154,-371,11,3,0,1,77,77,77,77.0,231,16,1,0,-11.0
109,120,40,80,-182,9,3,0,0,40,40,40,40.0,120,24,1,1,8.0
110,228,76,152,-186,9,3,0,1,76,76,76,76.0,228,21,1,5,-3.0
111,81,27,54,-697,10,3,0,0,27,27,27,27.0,81,25,1,2,4.0
112,108,36,72,-626,10,3,0,0,36,36,36,36.0,108,29,1,6,4.0
113,39,13,26,-573,12,3,0,1,13,13,13,13.0,39,11,1,2,-18.0
114,231,77,154,-353,11,3,0,1,77,77,77,77.0,231,30,1,0,19.0
115,48,16,32,-266,11,3,0,0,16,16,16,16.0,48,12,1,3,-18.0
116,33,11,22,-211,7,3,0,0,11,11,11,11.0,33,14,1,5,2.0
118,222,74,148,-739,12,3,0,1,74,74,74,74.0,222,27,1,4,13.0
119,60,20,40,-197,12,3,0,0,20,20,20,20.0,60,21,1,5,-6.0
120,291,97,194,-614,5,3,0,1,97,97,97,97.0,291,29,1,6,8.0
121,132,44,88,-235,7,3,0,0,44,44,44,44.0,132,22,1,6,-7.0
122,210,70,140,-168,15,3,0,0,70,70,70,70.0,210,14,1,5,-8.0
123,48,16,32,-219,7,3,0,1,16,16,16,16.0,48,25,1,2,11.0
124,141,47,94,-298,7,3,0,1,47,47,47,47.0,141,30,1,0,5.0
125,285,95,190,-60,9,3,0,0,95,95,95,95.0,285,22,1,6,-8.0
126,144,48,96,-876,13,3,0,1,48,48,48,48.0,144,29,1,6,7.0
127,129,43,86,-611,12,3,0,0,43,43,43,43.0,129,22,1,6,-7.0
129,135,45,90,-159,8,3,0,0,45,45,45,45.0,135,29,1,6,7.0
130,201,67,134,-227,11,3,0,0,67,67,67,67.0,201,18,1,2,-11.0
131,51,17,34,-610,15,3,0,0,17,17,17,17.0,51,25,1,2,7.0
132,189,63,126,-48,8,3,0,0,63,63,63,63.0,189,19,1,3,-6.0
133,39,13,26,-730,12,3,0,1,13,13,13,13.0,39,29,1,6,10.0
134,159,53,106,-388,4,3,0,0,53,53,53,53.0,159,15,1,6,-14.0
135,105,35,70,-10,11,3,0,0,35,35,35,35.0,105,18,1,2,3.0
136,255,85,170,-344,10,3,0,0,85,85,85,85.0,255,15,1,6,-3.0
137,30,10,20,-65,9,3,0,0,10,10,10,10.0,30,11,1,2,-4.0
138,120,40,80,-732,11,3,0,0,40,40,40,40.0,120,15,1,6,4.0
140,102,34,68,-562,9,3,1,0,34,34,34,34.0,102,13,1,4,-2.0
141,60,20,40,-399,8,3,0,0,20,20,20,20.0,60,22,1,6,9.0
142,99,33,66,-46,5,3,0,1,33,33,33,33.0,99,12,1,3,-10.0
143,24,8,16,-319,9,3,1,1,8,8,8,8.0,24,27,1,4,15.0
144,75,25,50,-635,15,3,0,1,25,25,25,25.0,75,15,1,6,-12.0
145,138,46,92,-626,6,3,0,0,46,46,46,46.0,138,14,1,5,-1.0
146,141,47,94,-608,13,3,0,1,47,47,47,47.0,141,23,1,0,9.0
147,54,18,36,-478,8,3,0,0,18,18,18,18.0,54,11,1,2,-12.0
148,105,35,70,-459,12,3,0,0,35,35,35,35.0,105,28,1,5,17.0
149,141,47,94,-542,12,3,0,0,47,47,47,47.0,141,26,1,3,-2.0
2,81,27,54,-187,6,3,0,1,27,27,27,27.0,81,30,1,0,4.0
3,39,13,26,-464,9,3,0,0,13,13,13,13.0,39,14,1,5,-16.0
4,300,100,200,-893,6,3,0,0,100,100,100,100.0,300,29,1,6,15.0
5,294,98,196,-216,5,3,0,0,98,98,98,98.0,294,23,1,0,-6.0
6,51,17,34,-589,7,3,0,1,17,17,17,17.0,51,15,1,6,-8.0
7,90,30,60,-236,6,3,0,0,30,30,30,30.0,90,13,1,4,-2.0
8,228,76,152,45,5,3,0,0,76,76,76,76.0,228,30,1,0,17.0
9,57,19,38,-355,11,3,0,0,19,19,19,19.0,57,29,1,6,-1.0
10,129,43,86,-492,9,3,0,1,43,43,43,43.0,129,13,1,4,-16.0
11,21,7,14,-528,9,3,0,0,7,7,7,7.0,21,25,1,2,12.0
13,297,99,198,-191,11,3,0,0,99,99,99,99.0,297,20,1,4,-5.0
14,87,29,58,-453,13,3,0,1,29,29,29,29.0,87,12,1,3,-8.0
15,15,5,10,-348,8,3,0,0,5,5,5,5.0,15,22,1,6,10.0
16,27,9,18,-109,11,3,0,0,9,9,9,9.0,27,20,1,4,-2.0
17,246,82,164,-175,11,3,0,0,82,82,82,82.0,246,19,1,3,-1.0
18,294,98,196,-210,13,3,0,1,98,98,98,98.0,294,27,1,4,8.0
19,51,17,34,-656,6,3,0,0,17,17,17,17.0,51,18,1,2,-9.0
20,150,50,100,-884,10,3,0,1,50,50,50,50.0,150,27,1,4,9.0
21,270,90,180,-251,10,3,0,0,90,90,90,90.0,270,21,1,5,-6.0
22,219,73,146,-135,4,3,1,0,73,73,73,73.0,219,14,1,5,-7.0
24,84,28,56,-116,12,3,0,0,28,28,28,28.0,84,11,1,2,-3.0
25,81,27,54,67,10,3,0,0,27,27,27,27.0,81,21,1,5,10.0
26,66,22,44,-472,11,3,0,0,22,22,22,22.0,66,20,1,4,-1.0
27,246,82,164,-300,10,3,0,1,82,82,82,82.0,246,12,1,3,-8.0
28,291,97,194,-586,10,3,0,0,97,97,97,97.0,291,19,1,3,7.0
29,216,72,144,-854,5,3,1,1,72,72,72,72.0,216,25,1,2,6.0
30,279,93,186,-243,5,3,0,0,93,93,93,93.0,279,21,1,5,-4.0
31,222,74,148,-401,9,3,0,0,74,74,74,74.0,222,14,1,5,-7.0
32,108,36,72,-244,9,3,0,1,36,36,36,36.0,108,15,1,6,1.0
33,114,38,76,-501,6,3,0,1,38,38,38,38.0,114,28,1,5,13.0
35,102,34,68,-140,13,3,0,0,34,34,34,34.0,102,13,1,4,-15.0
36,243,81,162,-604,12,3,0,0,81,81,81,81.0,243,12,1,3,-1.0
37,147,49,98,-293,15,3,0,0,49,49,49,49.0,147,20,1,4,8.0
38,123,41,82,-623,4,3,0,0,41,41,41,41.0,123,13,1,4,-7.0
39,147,49,98,-6,7,3,0,0,49,49,49,49.0,147,28,1,5,15.0
40,213,71,142,-854,6,3,1,0,71,71,71,71.0,213,27,1,4,-1.0
41,60,20,40,-525,7,3,0,1,20,20,20,20.0,60,24,1,1,-3.0
42,78,26,52,-391,7,3,0,0,26,26,26,26.0,78,27,1,4,3.0
43,153,51,102,-280,14,3,0,0,51,51,51,51.0,153,20,1,4,-7.0
44,117,39,78,-64,7,3,0,0,39,39,39,39.0,117,19,1,3,-1.0
46,117,39,78,-572,9,3,0,0,39,39,39,39.0,117,27,1,4,8.0
47,66,22,44,-642,13,3,0,0,22,22,22,22.0,66,21,1,5,-6.0
48,273,91,182,-346,5,3,0,1,91,91,91,91.0,273,24,1,1,3.0
49,141,47,94,-699,6,3,0,0,47,47,47,47.0,141,14,1,5,-10.0
50,234,78,156,-663,13,3,0,1,78,78,78,78.0,234,23,1,0,9.0
51,132,44,88,-200,8,3,0,1,44,44,44,44.0,132,17,1,1,-6.0
52,231,77,154,-818,4,3,0,1,77,77,77,77.0,231,28,1,5,11.0
53,18,6,12,-554,9,3,0,1,6,6,6,6.0,18,19,1,3,-9.0
54,300,100,200,-546,6,3,0,0,100,100,100,100.0,300,22,1,6,3.0
55,33,11,22,-393,9,3,0,0,11,11,11,11.0,33,30,1,0,8.0
57,300,100,200,-477,9,3,0,0,100,100,100,100.0,300,12,1,3,-18.0
0,0,94,0,-514,6,3,0,0,62,94,94,83.33333333333333,250,14,2,1,33.0
62,0,51,0,-542,14,3,1,0,43,51,51,48.333333333333336,145,23,2,3,9.0
73,0,79,0,-351,7,3,0,1,61,79,79,73.0,219,9,2,3,-14.0
84,0,80,0,-442,14,3,0,1,71,80,80,77.0,231,12,2,6,3.0
95,13,65,0,-234,10,3,0,0,26,65,65,52.0,156,8,2,2,-4.0
106,0,12,0,-664,8,3,0,0,33,12,12,19.0,57,13,2,0,5.0
117,0,83,0,-16,4,3,0,0,66,83,83,77.33333333333333,232,10,2,4,-3.0
128,0,31,0,-148,8,3,0,0,72,31,31,44.666666666666664,134,26,2,6,16.0
139,17,35,0,-530,8,3,0,0,9,35,35,26.333333333333332,79,17,2,4,-9.0
1,28,92,0,-338,9,3,0,0,32,92,92,72.0,216,20,2,0,3.0
12,7,17,0,-460,12,3,0,1,5,17,17,13.0,39,20,2,0,0.0
23,0,51,0,-658,10,3,0,1,62,51,51,54.666666666666664,164,14,2,1,-6.0
34,0,52,0,-738,8,3,0,1,58,52,52,54.0,162,13,2,0,-1.0
45,0,34,0,-282,7,3,0,1,57,34,34,41.666666666666664,125,9,2,3,-4.0
56,0,95,0,-798,6,3,0,0,69,95,95,86.33333333333333,259,27,2,0,18.0
58,0,84,0,-429,10,3,0,0,65,84,84,77.66666666666667,233,8,2,2,-19.0
59,63,79,0,-501,11,3,0,0,8,79,79,55.333333333333336,166,24,2,4,16.0
60,0,27,0,-647,10,3,0,0,40,27,27,31.333333333333332,94,23,2,3,-1.0
61,0,14,0,-690,10,3,0,0,7,14,14,11.666666666666666,35,10,2,4,-13.0
63,0,40,0,-687,7,3,0,0,95,40,40,58.333333333333336,175,18,2,5,8.0
64,20,92,0,-848,7,3,0,0,36,92,92,73.33333333333333,220,19,2,6,1.0
65,0,17,0,-603,8,3,0,0,60,17,17,31.333333333333332,94,26,2,6,7.0
66,40,86,0,-306,7,3,0,0,23,86,86,65.0,195,22,2,2,-4.0
67,0,7,0,-407,15,3,1,0,63,7,7,25.666666666666668,77,13,2,0,-9.0
68,49,71,0,-394,13,3,0,1,11,71,71,51.0,153,26,2,6,13.0
69,0,68,0,-498,9,3,1,1,77,68,68,71.0,213,24,2,4,-2.0
70,0,16,0,-435,8,3,1,0,73,16,16,35.0,105,14,2,1,-10.0
71,0,21,0,-2,11,3,0,0,36,21,21,26.0,78,17,2,4,3.0
72,0,78,0,-259,4,3,0,1,75,78,78,77.0,231,27,2,0,10.0
74,0,57,0,-633,10,3,0,0,75,57,57,63.0,189,16,2,3,-11.0
75,6,74,0,-231,5,3,0,0,34,74,74,60.666666666666664,182,13,2,0,-3.0
76,28,80,0,-754,6,3,0,0,26,80,80,62.0,186,22,2,2,9.0
77,0,35,0,-674,10,3,0,1,59,35,35,43.0,129,25,2,5,3.0
78,0,44,0,-694,11,3,0,0,68,44,44,52.0,156,12,2,6,-13.0
79,0,80,0,-603,9,3,0,0,50,80,80,70.0,210,18,2,5,6.0
80,56,86,0,-341,6,3,0,0,15,86,86,62.333333333333336,187,19,2,6,1.0
81,0,43,0,-138,5,3,0,1,48,43,43,44.666666666666664,134,16,2,3,-3.0
82,0,65,0,-609,4,3,0,1,50,65,65,60.0,180,24,2,4,8.0
83,0,73,0,-360,8,3,1,0,76,73,73,74.0,222,24,2,4,0.0
85,0,35,0,-440,10,3,1,0,50,35,35,40.0,120,24,2,4,0.0
86,0,91,0,-340,12,3,0,1,65,91,91,82.33333333333333,247,19,2,6,-5.0
87,0,98,0,-273,5,3,0,0,58,98,98,84.66666666666667,254,26,2,6,7.0
88,0,95,0,-281,13,3,0,0,68,95,95,86.0,258,14,2,1,-12.0
89,0,97,0,-20,3,3,1,0,67,97,97,87.0,261,25,2,5,11.0
90,0,18,0,-674,15,3,0,0,64,18,18,33.333333333333336,100,26,2,6,1.0
91,0,53,0,-97,15,3,1,0,87,53,53,64.33333333333333,193,10,2,4,-16.0
92,0,9,0,-30,9,3,0,1,87,9,9,35.0,105,26,2,6,16.0
93,0,86,0,-673,7,3,0,0,66,86,86,79.33333333333333,238,22,2,2,-4.0
94,0,25,0,-298,7,3,0,0,57,25,25,35.666666666666664,107,27,2,0,5.0
96,52,82,0,-327,12,3,0,0,15,82,82,59.666666666666664,179,23,2,3,-4.0
97,34,70,0,-574,5,3,0,0,18,70,70,52.666666666666664,158,17,2,4,-6.0
98,0,71,0,-240,9,3,0,0,53,71,71,65.0,195,20,2,0,3.0
99,0,23,0,-465,9,3,0,1,99,23,23,48.333333333333336,145,25,2,5,5.0
100,81,99,0,-186,9,3,0,0,9,99,99,69.0,207,11,2,5,-14.0
101,0,14,0,-169,8,3,0,0,13,14,14,13.666666666666666,41,14,2,1,3.0
102,0,54,0,-608,9,3,0,0,96,54,54,68.0,204,25,2,5,11.0
103,0,42,0,-792,10,3,1,0,75,42,42,53.0,159,23,2,3,-2.0
104,0,16,0,-705,7,3,0,1,96,16,16,42.666666666666664,128,27,2,0,4.0
105,0,60,0,-567,10,3,0,0,62,60,60,60.666666666666664,182,21,2,1,-6.0
107,0,76,0,-260,14,3,0,0,66,76,76,72.66666666666667,218,13,2,0,-8.0
108,0,58,0,-308,10,3,0,1,77,58,58,64.33333333333333,193,13,2,0,0.0
109,0,8,0,-442,5,3,0,0,40,8,8,18.666666666666668,56,13,2,0,0.0
110,0,21,0,-376,9,3,0,0,76,21,21,39.333333333333336,118,18,2,5,5.0
111,0,31,0,-138,7,3,0,0,27,31,31,29.666666666666668,89,14,2,1,-4.0
112,0,12,0,-371,4,3,0,0,36,12,12,20.0,60,11,2,5,-3.0
113,4,30,0,-754,13,3,0,0,13,30,30,24.333333333333332,73,14,2,1,3.0
114,0,86,0,-521,7,3,0,0,77,86,86,83.0,249,12,2,6,-2.0
115,68,100,0,-695,13,3,0,0,16,100,100,72.0,216,14,2,1,2.0
116,40,62,0,-348,11,3,0,0,11,62,62,45.0,135,22,2,2,8.0
118,0,82,0,-511,8,3,0,0,74,82,82,79.33333333333333,238,14,2,1,-8.0
119,55,95,0,-256,7,3,0,0,20,95,95,70.0,210,8,2,2,-6.0
120,0,36,0,-396,11,3,0,0,97,36,36,56.333333333333336,169,11,2,5,3.0
121,0,26,0,-109,11,3,0,0,44,26,26,32.0,96,8,2,2,-3.0
122,0,7,0,-315,9,3,0,0,70,7,7,28.0,84,26,2,6,18.0
123,0,32,0,-598,7,3,0,1,16,32,32,26.666666666666668,80,10,2,4,-16.0
124,0,33,0,-800,11,3,0,0,47,33,33,37.666666666666664,113,21,2,1,11.0
125,0,94,0,-373,10,3,0,0,95,94,94,94.33333333333331,283,15,2,2,-6.0
126,0,45,0,-368,8,3,0,0,48,45,45,46.0,138,26,2,6,11.0
127,0,48,0,-148,10,3,0,1,43,48,48,46.333333333333336,139,14,2,1,-12.0
129,0,57,0,-603,11,3,0,0,45,57,57,53.0,159,23,2,3,9.0
130,0,71,0,-546,9,3,1,1,67,71,71,69.66666666666667,209,23,2,3,0.0
131,16,50,0,-625,12,3,0,0,17,50,50,39.0,117,25,2,5,2.0
132,0,32,0,-397,14,3,0,0,63,32,32,42.333333333333336,127,23,2,3,-2.0
133,36,62,0,-80,13,3,0,1,13,62,62,45.666666666666664,137,27,2,0,4.0
134,0,79,0,-209,6,3,1,0,53,79,79,70.33333333333333,211,11,2,5,-16.0
135,0,31,0,-437,6,3,0,1,35,31,31,32.333333333333336,97,24,2,4,13.0
136,0,88,0,-692,12,3,0,1,85,88,88,87.0,261,16,2,3,-8.0
137,12,32,0,-547,6,3,0,0,10,32,32,24.666666666666668,74,8,2,2,-8.0
138,0,39,0,-91,8,3,0,0,40,39,39,39.333333333333336,118,13,2,0,5.0
140,32,100,0,-286,9,3,0,0,34,100,100,78.0,234,12,2,6,-1.0
141,58,98,0,-492,10,3,1,0,20,98,98,72.0,216,17,2,4,5.0
142,10,76,0,-301,6,3,0,0,33,76,76,61.666666666666664,185,24,2,4,7.0
143,13,29,0,-446,9,3,0,0,8,29,29,22.0,66,21,2,1,-3.0
144,36,86,0,12,6,3,0,0,25,86,86,65.66666666666667,197,11,2,5,-10.0
145,0,20,0,-675,10,3,0,1,46,20,20,28.666666666666668,86,22,2,2,11.0
146,0,31,0,-343,12,3,1,1,47,31,31,36.333333333333336,109,10,2,4,-12.0
147,40,76,0,-601,13,3,0,1,18,76,76,56.666666666666664,170,18,2,5,8.0
148,0,31,0,-632,5,3,0,0,35,31,31,32.333333333333336,97,9,2,3,-9.0
149,0,41,0,-356,9,3,0,0,47,41,41,43.0,129,11,2,5,2.0
2,0,42,0,-545,7,3,1,0,27,42,42,37.0,111,18,2,5,7.0
3,30,56,0,-132,15,3,0,0,13,56,56,41.666666666666664,125,18,2,5,0.0
4,0,37,0,-372,7,3,0,0,100,37,37,58.0,174,17,2,4,-1.0
5,0,30,0,-462,5,3,0,0,98,30,30,52.666666666666664,158,10,2,4,-7.0
6,15,49,0,-1,11,3,0,0,17,49,49,38.333333333333336,115,23,2,3,13.0
7,0,28,0,-195,10,3,0,0,30,28,28,28.666666666666668,86,20,2,0,-3.0
8,0,47,0,-758,10,3,0,1,76,47,47,56.666666666666664,170,19,2,6,-1.0
9,13,51,0,-436,7,3,0,0,19,51,51,40.333333333333336,121,9,2,3,-10.0
10,0,18,0,-698,9,3,0,0,43,18,18,26.333333333333332,79,13,2,0,4.0
11,35,49,0,-511,7,3,0,0,7,49,49,35.0,105,8,2,2,-5.0
13,0,70,0,-463,8,3,0,0,99,70,70,79.66666666666667,239,23,2,3,15.0
14,0,11,0,-351,11,3,0,0,29,11,11,17.0,51,10,2,4,-13.0
15,24,34,0,-633,9,3,1,1,5,34,34,24.333333333333332,73,13,2,0,3.0
16,40,58,0,-186,9,3,0,0,9,58,58,41.666666666666664,125,12,2,6,-1.0
17,0,31,0,-284,10,3,0,1,82,31,31,48.0,144,21,2,1,9.0
18,0,100,0,-217,11,3,0,0,98,100,100,99.33333333333331,298,24,2,4,3.0
19,33,67,0,-247,7,3,0,0,17,67,67,50.333333333333336,151,15,2,2,-9.0
20,0,40,0,-613,7,3,0,0,50,40,40,43.333333333333336,130,12,2,6,-3.0
21,0,17,0,-332,8,3,0,1,90,17,17,41.333333333333336,124,9,2,3,-3.0
22,0,61,0,-450,14,3,0,0,73,61,61,65.0,195,16,2,3,7.0
24,0,29,0,-262,12,3,0,0,28,29,29,28.666666666666668,86,24,2,4,8.0
25,27,81,0,-92,8,3,1,1,27,81,81,63.0,189,22,2,2,-2.0
26,0,14,0,-562,13,3,0,1,22,14,14,16.666666666666668,50,26,2,6,4.0
27,0,47,0,-619,8,3,0,0,82,47,47,58.666666666666664,176,17,2,4,-9.0
28,0,72,0,-615,6,3,0,0,97,72,72,80.33333333333333,241,22,2,2,5.0
29,0,31,0,-17,8,3,0,0,72,31,31,44.666666666666664,134,18,2,5,-4.0
30,0,43,0,-524,9,3,0,0,93,43,43,59.666666666666664,179,25,2,5,7.0
31,0,37,0,-511,9,3,0,1,74,37,37,49.333333333333336,148,19,2,6,-6.0
32,0,7,0,-196,12,3,0,1,36,7,7,16.666666666666668,50,17,2,4,-2.0
33,9,85,0,-272,7,3,0,0,38,85,85,69.33333333333333,208,22,2,2,5.0
35,0,12,0,-554,11,3,1,1,34,12,12,19.333333333333332,58,25,2,5,3.0
36,0,29,0,-433,8,3,0,0,81,29,29,46.333333333333336,139,11,2,5,-14.0
37,0,45,0,-517,13,3,0,0,49,45,45,46.333333333333336,139,11,2,5,0.0
38,0,8,0,-244,8,3,0,0,41,8,8,19.0,57,12,2,6,1.0
39,0,85,0,-669,3,3,0,0,49,85,85,73.0,219,11,2,5,-1.0
40,0,9,0,-505,7,3,0,0,71,9,9,29.666666666666668,89,17,2,4,6.0
41,52,92,0,-410,5,3,0,0,20,92,92,68.0,204,14,2,1,-3.0
42,40,92,0,-66,11,3,0,0,26,92,92,70.0,210,15,2,2,1.0
43,0,68,0,-72,9,3,0,0,51,68,68,62.333333333333336,187,26,2,6,11.0
44,0,69,0,-622,12,3,0,0,39,69,69,59.0,177,26,2,6,0.0
46,0,58,0,-335,7,3,0,0,39,58,58,51.666666666666664,155,18,2,5,-8.0
47,0,14,0,-237,8,3,0,0,22,14,14,16.666666666666668,50,12,2,6,-6.0
48,0,92,0,-22,7,3,0,0,91,92,92,91.66666666666669,275,26,2,6,14.0
49,0,61,0,-109,5,3,0,0,47,61,61,56.333333333333336,169,21,2,1,-5.0
50,0,9,0,-374,12,3,0,0,78,9,9,32.0,96,25,2,5,4.0
51,0,51,0,-615,7,3,0,0,44,51,51,48.666666666666664,146,14,2,1,-11.0
52,0,35,0,-422,14,3,0,0,77,35,35,49.0,147,16,2,3,2.0
53,7,19,0,-286,11,3,0,0,6,19,19,14.666666666666666,44,26,2,6,10.0
54,0,73,0,-54,8,3,0,0,100,73,73,82.0,246,15,2,2,-11.0
55,74,96,0,-379,10,3,0,0,11,96,96,67.66666666666667,203,10,2,4,-5.0
57,0,74,0,30,11,3,0,0,100,74,74,82.66666666666667,248,24,2,4,14.0
0,17,47,0,-184,14,3,0,0,94,62,47,67.66666666666667,203,16,3,3,20.0
62,65,100,0,-661,11,3,1,0,51,43,100,64.66666666666667,194,21,3,1,5.0
73,57,100,0,-202,3,3,0,1,79,61,100,80.0,240,16,3,3,-5.0
84,0,13,0,-386,7,3,0,0,80,71,13,54.666666666666664,164,14,3,1,-2.0
95,61,48,13,-251,10,3,0,1,65,26,48,46.333333333333336,139,27,3,0,13.0
106,18,72,0,-620,13,3,0,0,12,33,72,39.0,117,20,3,0,-7.0
117,0,38,0,-627,4,3,0,0,83,66,38,62.333333333333336,187,28,3,1,8.0
128,0,38,0,82,7,3,0,0,31,72,38,47.0,141,30,3,3,2.0
139,101,84,17,-53,11,3,0,0,35,9,84,42.666666666666664,128,28,3,1,-2.0
1,37,9,28,-353,6,3,0,0,92,32,9,44.333333333333336,133,28,3,1,0.0
12,35,28,7,-33,9,3,0,0,17,5,28,16.666666666666668,50,21,3,1,-7.0
23,0,26,0,-511,7,3,0,0,51,62,26,46.333333333333336,139,22,3,2,1.0
34,24,88,0,-759,7,3,0,1,52,58,88,66.0,198,29,3,2,7.0
45,7,87,0,-488,10,3,0,0,34,57,87,59.333333333333336,178,13,3,0,-16.0
56,22,65,0,-9,8,3,0,0,95,69,65,76.33333333333333,229,25,3,5,12.0
58,0,20,0,-717,7,3,0,0,84,65,20,56.333333333333336,169,28,3,1,3.0
59,93,30,63,15,13,3,0,0,79,8,30,39.0,117,22,3,2,-6.0
60,0,18,0,-766,6,3,1,0,27,40,18,28.333333333333332,85,28,3,1,6.0
61,35,35,0,-541,10,3,0,0,14,7,35,18.666666666666668,56,18,3,5,-10.0
63,0,46,0,-650,11,3,0,0,40,95,46,60.333333333333336,181,11,3,5,-7.0
64,90,70,20,89,9,3,0,0,92,36,70,66.0,198,27,3,0,16.0
